36.7% / 50.8%	69.1% / 83.6%	74.0% / 88.1%	43.9% / 49.5%	72.0% / 81.2%	80.8% / 90.2%	31.3% / 35.0%	63.1% / 67.4%	77.0% / 81.7%	17.2% / 23.4%	63.2% / 70.6%	63.5% / 72.4%
57.7% / 72.2%	73.4% / 87.3%	78.7% / 91.2%	69.2% / 73.7%	80.5% / 84.9%	88.2% / 92.3%	55.9% / 60.3%	70.6% / 74.2%	82.5% / 84.6%	30.1% / 37.4%	59.5% / 66.8%	63.0% / 70.4%
63.4% / 77.9%	73.9% / 88.0%	78.7% / 91.9%	76.5% / 80.7%	84.3% / 88.0%	90.0% / 93.1%	63.8% / 68.7%	73.8% / 77.2%	84.0% / 86.4%	33.9% / 41.6%	56.7% / 64.9%	59.6% / 68.0%
