|                                                 |   fresh-haze-530_exp1_log_9_2.2 |   devout-disco-532_exp1_log_20_1.43 |   apricot-frost-534_exp1_log_39_1.2 |   crisp-meadow-535_exp1_lin_100 |   absurd-wildflower-536_exp1_lin_1000 |   royal-violet-583_exp1_lin_10000 |   gallant-lion-533_exp1_log_29_1.28_exp2_mf10M |   noble-glitter-546_exp2_mf10K |   dashing-grass-547_exp2_mf100 |   exalted-elevator-545_exp2_mf10 |   devoted-feather-548_exp2_selfies |   hardy-bush-576_exp4_custom_one_src_token |   dulcet-cloud-568_exp3_custom_neims |   hearty-leaf-572_exp3_custom_rassp |   likely-sea-573_exp3_custom_rassp_neims |   valiant-galaxy-574_exp3_custom_rassp_neims_nist |   vibrant-armadillo-584_exp5_224_74 |   balmy-violet-577_exp5_224_148 |   floral-rain-591_exp5_9M_224+148 |   youthful-wave-590_exp5_9M_448+296 |
|:------------------------------------------------|--------------------------------:|------------------------------------:|------------------------------------:|--------------------------------:|--------------------------------------:|----------------------------------:|-----------------------------------------------:|-------------------------------:|-------------------------------:|---------------------------------:|-----------------------------------:|-------------------------------------------:|-------------------------------------:|------------------------------------:|-----------------------------------------:|--------------------------------------------------:|------------------------------------:|--------------------------------:|----------------------------------:|------------------------------------:|
| dulcet-cloud-568_exp3_custom_neims              |                           0.001 |                           0.001     |                           0.001     |                           0.001 |                              0.001    |                         0.001     |                                      0.001     |                       0.001    |                      0.001     |                        0.001     |                              0.001 |                                  0.0245352 |                            1         |                               0.001 |                                0.0310455 |                                          0.853311 |                           0.001     |                       0.001     |                          0.001    |                               0.001 |
| hearty-leaf-572_exp3_custom_rassp               |                           0.001 |                           0.001     |                           0.001     |                           0.001 |                              0.001    |                         0.001     |                                      0.001     |                       0.001    |                      0.001     |                        0.001     |                              0.001 |                                  0.001     |                            0.001     |                               1     |                                0.001     |                                          0.001    |                           0.001     |                       0.001     |                          0.001    |                               0.001 |
| likely-sea-573_exp3_custom_rassp_neims          |                           0.001 |                           0.001     |                           0.001     |                           0.001 |                              0.001    |                         0.001     |                                      0.001     |                       0.001    |                      0.001     |                        0.001     |                              0.001 |                                  0.9       |                            0.0310455 |                               0.001 |                                1         |                                          0.9      |                           0.0337371 |                       0.001     |                          0.001    |                               0.001 |
| valiant-galaxy-574_exp3_custom_rassp_neims_nist |                           0.001 |                           0.001     |                           0.001     |                           0.001 |                              0.001    |                         0.001     |                                      0.001     |                       0.001    |                      0.001     |                        0.001     |                              0.001 |                                  0.9       |                            0.853311  |                               0.001 |                                0.9       |                                          1        |                           0.001     |                       0.001     |                          0.001    |                               0.001 |
| vibrant-armadillo-584_exp5_224_74               |                           0.001 |                           0.001     |                           0.001     |                           0.001 |                              0.001    |                         0.001     |                                      0.001     |                       0.001    |                      0.001     |                        0.001     |                              0.001 |                                  0.0422469 |                            0.001     |                               0.001 |                                0.0337371 |                                          0.001    |                           1         |                       0.0114634 |                          0.001    |                               0.001 |
| balmy-violet-577_exp5_224_148                   |                           0.001 |                           0.001     |                           0.001     |                           0.001 |                              0.001    |                         0.001     |                                      0.001     |                       0.001    |                      0.001     |                        0.001     |                              0.001 |                                  0.001     |                            0.001     |                               0.001 |                                0.001     |                                          0.001    |                           0.0114634 |                       1         |                          0.577885 |                               0.001 |
| floral-rain-591_exp5_9M_224+148                 |                           0.001 |                           0.001     |                           0.001     |                           0.001 |                              0.001    |                         0.001     |                                      0.001     |                       0.001    |                      0.001     |                        0.001     |                              0.001 |                                  0.001     |                            0.001     |                               0.001 |                                0.001     |                                          0.001    |                           0.001     |                       0.577885  |                          1        |                               0.001 |
| youthful-wave-590_exp5_9M_448+296               |                           0.001 |                           0.001     |                           0.001     |                           0.001 |                              0.001    |                         0.001     |                                      0.001     |                       0.001    |                      0.001     |                        0.001     |                              0.001 |                                  0.001     |                            0.001     |                               0.001 |                                0.001     |                                          0.001    |                           0.001     |                       0.001     |                          0.001    |                               1     |


The Friedman test was SIGNIFICANT -> Nemenyi post-hoc test (similsort):
|                                                 |   fresh-haze-530_exp1_log_9_2.2 |   devout-disco-532_exp1_log_20_1.43 |   apricot-frost-534_exp1_log_39_1.2 |   crisp-meadow-535_exp1_lin_100 |   absurd-wildflower-536_exp1_lin_1000 |   royal-violet-583_exp1_lin_10000 |   gallant-lion-533_exp1_log_29_1.28_exp2_mf10M |   noble-glitter-546_exp2_mf10K |   dashing-grass-547_exp2_mf100 |   exalted-elevator-545_exp2_mf10 |   devoted-feather-548_exp2_selfies |   hardy-bush-576_exp4_custom_one_src_token |   dulcet-cloud-568_exp3_custom_neims |   hearty-leaf-572_exp3_custom_rassp |   likely-sea-573_exp3_custom_rassp_neims |   valiant-galaxy-574_exp3_custom_rassp_neims_nist |   vibrant-armadillo-584_exp5_224_74 |   balmy-violet-577_exp5_224_148 |   floral-rain-591_exp5_9M_224+148 |   youthful-wave-590_exp5_9M_448+296 |
|:------------------------------------------------|--------------------------------:|------------------------------------:|------------------------------------:|--------------------------------:|--------------------------------------:|----------------------------------:|-----------------------------------------------:|-------------------------------:|-------------------------------:|---------------------------------:|-----------------------------------:|-------------------------------------------:|-------------------------------------:|------------------------------------:|-----------------------------------------:|--------------------------------------------------:|------------------------------------:|--------------------------------:|----------------------------------:|------------------------------------:|
| fresh-haze-530_exp1_log_9_2.2                   |                           1     |                           0.001     |                           0.001     |                           0.9   |                              0.001    |                         0.001     |                                      0.001     |                       0.001    |                      0.001     |                        0.001     |                              0.001 |                                  0.001     |                            0.001     |                               0.001 |                                0.001     |                                          0.001    |                           0.001     |                       0.001     |                          0.001    |                               0.001 |
| devout-disco-532_exp1_log_20_1.43               |                           0.001 |                           1         |                           0.9       |                           0.001 |                              0.365835 |                         0.9       |                                      0.9       |                       0.001    |                      0.0828651 |                        0.001     |                              0.001 |                                  0.001     |                            0.001     |                               0.001 |                                0.001     |                                          0.001    |                           0.001     |                       0.001     |                          0.001    |                               0.001 |
| apricot-frost-534_exp1_log_39_1.2               |                           0.001 |                           0.9       |                           1         |                           0.001 |                              0.336017 |                         0.9       |                                      0.9       |                       0.001    |                      0.0732201 |                        0.001     |                              0.001 |                                  0.001     |                            0.001     |                               0.001 |                                0.001     |                                          0.001    |                           0.001     |                       0.001     |                          0.001    |                               0.001 |
| crisp-meadow-535_exp1_lin_100                   |                           0.9   |                           0.001     |                           0.001     |                           1     |                              0.001    |                         0.001     |                                      0.001     |                       0.001    |                      0.001     |                        0.001     |                              0.001 |                                  0.001     |                            0.001     |                               0.001 |                                0.001     |                                          0.001    |                           0.001     |                       0.001     |                          0.001    |                               0.001 |
| absurd-wildflower-536_exp1_lin_1000             |                           0.001 |                           0.365835  |                           0.336017  |                           0.001 |                              1        |                         0.9       |                                      0.001     |                       0.507851 |                      0.9       |                        0.603971  |                              0.001 |                                  0.001     |                            0.001     |                               0.001 |                                0.001     |                                          0.001    |                           0.001     |                       0.001     |                          0.001    |                               0.001 |
| royal-violet-583_exp1_lin_10000                 |                           0.001 |                           0.9       |                           0.9       |                           0.001 |                              0.9      |                         1         |                                      0.0217462 |                       0.054855 |                      0.9       |                        0.0866862 |                              0.001 |                                  0.001     |                            0.001     |                               0.001 |                                0.001     |                                          0.001    |                           0.001     |                       0.001     |                          0.001    |                               0.001 |
| gallant-lion-533_exp1_log_29_1.28_exp2_mf10M    |                           0.001 |                           0.9       |                           0.9       |                           0.001 |                              0.001    |                         0.0217462 |                                      1         |                       0.001    |                      0.001     |                        0.001     |                              0.001 |                                  0.001     |                            0.001     |                               0.001 |                                0.001     |                                          0.001    |                           0.001     |                       0.001     |                          0.001    |                               0.001 |
| noble-glitter-546_exp2_mf10K                    |                           0.001 |                           0.001     |                           0.001     |                           0.001 |                              0.507851 |                         0.054855  |                                      0.001     |                       1        |                      0.9       |                        0.9       |                              0.001 |                                  0.001     |                            0.001     |                               0.001 |                                0.001     |                                          0.001    |                           0.001     |                       0.001     |                          0.001    |                               0.001 |
| dashing-grass-547_exp2_mf100                    |                           0.001 |                           0.0828651 |                           0.0732201 |                           0.001 |                              0.9      |                         0.9       |                                      0.001     |                       0.9      |                      1         |                        0.9       |                              0.001 |                                  0.001     |                            0.001     |                               0.001 |                                0.001     |                                          0.001    |                           0.001     |                       0.001     |                          0.001    |                               0.001 |
| exalted-elevator-545_exp2_mf10                  |                           0.001 |                           0.001     |                           0.001     |                           0.001 |                              0.603971 |                         0.0866862 |                                      0.001     |                       0.9      |                      0.9       |                        1         |                              0.001 |                                  0.001     |                            0.001     |                               0.001 |                                0.001     |                                          0.001    |                           0.001     |                       0.001     |                          0.001    |                               0.001 |
| devoted-feather-548_exp2_selfies                |                           0.001 |                           0.001     |                           0.001     |                           0.001 |                              0.001    |                         0.001     |                                      0.001     |                       0.001    |                      0.001     |                        0.001     |                              1     |                                  0.001     |                            0.001     |                               0.001 |                                0.001     |                                          0.001    |                           0.001     |                       0.001     |                          0.001    |                               0.001 |
| hardy-bush-576_exp4_custom_one_src_token        |                           0.001 |                           0.001     |                           0.001     |                           0.001 |                              0.001    |                         0.001     |                                      0.001     |                       0.001    |                      0.001     |                        0.001     |                              0.001 |                                  1         |                            0.0245352 |                               0.001 |                                0.9       |                                          0.9      |                           0.0422469 |                       0.001     |                          0.001    |                               0.001 |
| dulcet-cloud-568_exp3_custom_neims              |                           0.001 |                           0.001     |                           0.001     |                           0.001 |                              0.001    |                         0.001     |                                      0.001     |                       0.001    |                      0.001     |                        0.001     |                              0.001 |                                  0.0245352 |                            1         |                               0.001 |                                0.0310455 |                                          0.853311 |                           0.001     |                       0.001     |                          0.001    |                               0.001 |
| hearty-leaf-572_exp3_custom_rassp               |                           0.001 |                           0.001     |                           0.001     |                           0.001 |                              0.001    |                         0.001     |                                      0.001     |                       0.001    |                      0.001     |                        0.001     |                              0.001 |                                  0.001     |                            0.001     |                               1     |                                0.001     |                                          0.001    |                           0.001     |                       0.001     |                          0.001    |                               0.001 |
| likely-sea-573_exp3_custom_rassp_neims          |                           0.001 |                           0.001     |                           0.001     |                           0.001 |                              0.001    |                         0.001     |                                      0.001     |                       0.001    |                      0.001     |                        0.001     |                              0.001 |                                  0.9       |                            0.0310455 |                               0.001 |                                1         |                                          0.9      |                           0.0337371 |                       0.001     |                          0.001    |                               0.001 |
| valiant-galaxy-574_exp3_custom_rassp_neims_nist |                           0.001 |                           0.001     |                           0.001     |                           0.001 |                              0.001    |                         0.001     |                                      0.001     |                       0.001    |                      0.001     |                        0.001     |                              0.001 |                                  0.9       |                            0.853311  |                               0.001 |                                0.9       |                                          1        |                           0.001     |                       0.001     |                          0.001    |                               0.001 |
| vibrant-armadillo-584_exp5_224_74               |                           0.001 |                           0.001     |                           0.001     |                           0.001 |                              0.001    |                         0.001     |                                      0.001     |                       0.001    |                      0.001     |                        0.001     |                              0.001 |                                  0.0422469 |                            0.001     |                               0.001 |                                0.0337371 |                                          0.001    |                           1         |                       0.0114634 |                          0.001    |                               0.001 |
| balmy-violet-577_exp5_224_148                   |                           0.001 |                           0.001     |                           0.001     |                           0.001 |                              0.001    |                         0.001     |                                      0.001     |                       0.001    |                      0.001     |                        0.001     |                              0.001 |                                  0.001     |                            0.001     |                               0.001 |                                0.001     |                                          0.001    |                           0.0114634 |                       1         |                          0.577885 |                               0.001 |
| floral-rain-591_exp5_9M_224+148                 |                           0.001 |                           0.001     |                           0.001     |                           0.001 |                              0.001    |                         0.001     |                                      0.001     |                       0.001    |                      0.001     |                        0.001     |                              0.001 |                                  0.001     |                            0.001     |                               0.001 |                                0.001     |                                          0.001    |                           0.001     |                       0.577885  |                          1        |                               0.001 |
| youthful-wave-590_exp5_9M_448+296               |                           0.001 |                           0.001     |                           0.001     |                           0.001 |                              0.001    |                         0.001     |                                      0.001     |                       0.001    |                      0.001     |                        0.001     |                              0.001 |                                  0.001     |                            0.001     |                               0.001 |                                0.001     |                                          0.001    |                           0.001     |                       0.001     |                          0.001    |                               1     |
